knob_name,type,description,DBMS,cluster
authentication_ldap_simple_bind_base_dn,String,The parameter `authentication_ldap_simple_bind_base_dn` in MySQL is used to specify the base DN (Distinguished Name) for simple LDAP (Lightweight Directory Access Protocol) authentication. This setting allows MySQL to bind to the LDAP directory using the provided base DN during authentication operations. It is available in MySQL server versions that support LDAP authentication.,MySQL,0
authentication_ldap_simple_bind_root_dn,String,The ```authentication_ldap_simple_bind_root_dn``` configuration parameter in MySQL specifies the LDAP distinguished name (DN) used for simple binding when connecting to the LDAP server for user authentication. This parameter is only applicable when MySQL is configured to use LDAP for user authentication. It helps specify the root DN under which MySQL searches for user entries in the LDAP directory server. The parameter is available in MySQL 5.5 and later versions.,MySQL,0
authentication_ldap_simple_bind_root_pwd,String,The MySQL configuration parameter authentication_ldap_simple_bind_root_pwd specifies the password that is used in conjunction with the authentication_ldap_simple_bind_root_dn parameter for simple LDAP authentication. This parameter is applicable for MySQL Community Server versions 8.0.11 and later. It should be configured with the appropriate LDAP server root user password to enable LDAP authentication.,MySQL,0
authentication_ldap_simple_ca_path,String,The `authentication_ldap_simple_ca_path` MySQL configuration parameter specifies the path to the directory containing the certificate authority (CA) certificates for LDAP over SSL/TLS connections when using simple authentication. MySQL uses these CA certificates to validate the LDAP server's certificate. This parameter helps ensure secure communication between the MySQL server and the LDAP server. This parameter is available in MySQL 8.0 and later versions.,MySQL,0
authentication_ldap_simple_connect_timeout,Integer,"The `authentication_ldap_simple_connect_timeout` parameter in MySQL is used to define the timeout value, in seconds, for simple LDAP authentication connections. This parameter determines how long MySQL will wait for establishing a simple LDAP connection before timing out. It is applicable for MySQL versions that support LDAP authentication features.",MySQL,0
authentication_ldap_simple_group_search_attr,String,The `authentication_ldap_simple_group_search_attr` MySQL configuration parameter is used to specify the LDAP attribute for simple group searching during LDAP authentication. This parameter allows MySQL server to search for groups in LDAP using the defined attribute when authenticating users. It is relevant for MySQL 5.5.11 and later versions.,MySQL,0
authentication_ldap_simple_group_search_filter,String,The `authentication_ldap_simple_group_search_filter` MySQL configuration parameter specifies the LDAP search filter used when looking up groups for Simple LDAP authentication. It allows you to customize the LDAP search filter used to find group information during authentication with an LDAP server. This parameter is available in MySQL 5.7.11 and later versions.,MySQL,0
authentication_ldap_simple_init_pool_size,Integer,"The authentication_ldap_simple_init_pool_size parameter in MySQL specifies the initial size of the pool used by the LDAP authentication plugin for simple authentication. The pool is used to cache LDAP connections, reducing the overhead of creating new connections for authentication requests. This parameter is available in MySQL 8.0 and later versions.",MySQL,0
authentication_ldap_simple_log_status,Integer,"The authentication_ldap_simple_log_status parameter in MySQL controls whether LDAP-based authentication failures are recorded in the error log. When enabled, authentication failures due to LDAP authentication issues are logged, providing visibility into potential authentication problems with LDAP configurations. This parameter is available starting from MySQL version 8.0.3.",MySQL,0
authentication_ldap_simple_max_pool_size,Integer,The MySQL configuration parameter `authentication_ldap_simple_max_pool_size` determines the maximum number of pooled LDAP connections for simple authentication. This setting helps optimize LDAP authentication performance by limiting the number of active connections to the LDAP server. The parameter is applicable to MySQL Server versions that support LDAP authentication.,MySQL,0
authentication_ldap_simple_referral,Boolean,"The `authentication_ldap_simple_referral` MySQL configuration parameter is used to control how LDAP referrals are handled during authentication. When set to 'TRUE', the server will follow LDAP referrals according to the LDAP specification. This parameter is available in MySQL 5.5.44 and later versions.",MySQL,0
authentication_ldap_simple_response_timeout,Integer,"The `authentication_ldap_simple_response_timeout` MySQL configuration parameter sets the timeout, in seconds, for simple LDAP response retrieval during the LDAP authentication process. This parameter specifies how long MySQL waits for a response from the LDAP server before timing out. It is applicable in scenarios where MySQL is configured to use LDAP for user authentication.",MySQL,0
authentication_ldap_simple_server_host,String,The `authentication_ldap_simple_server_host` configuration parameter in MySQL specifies the host name or IP address of the LDAP server responsible for handling user authentication through LDAP simple bind authentication. This parameter is used when MySQL is configured to authenticate users against an LDAP server using simple authentication. It is available in MySQL version 8.0 and later.,MySQL,0
authentication_ldap_simple_server_port,Integer,The `authentication_ldap_simple_server_port` MySQL configuration parameter defines the port number used for LDAP authentication when connecting to an LDAP server using simple authentication. This parameter specifies the port where the LDAP server listens for incoming connection requests from MySQL for authentication purposes. The default value for this parameter is typically 389 for non-secured connections or 636 for SSL-secured connections.,MySQL,0
authentication_ldap_simple_tls,Boolean,"The `authentication_ldap_simple_tls` MySQL configuration parameter enables the use of Transport Layer Security (TLS) for establishing secure connections when authenticating with an LDAP server using the simple bind method. It is used to encrypt LDAP communication between the MySQL server and the LDAP server, ensuring data confidentiality and integrity. This parameter is available in MySQL 5.7 and later versions.",MySQL,0
authentication_ldap_simple_user_search_attr,String,The MySQL configuration parameter 'authentication_ldap_simple_user_search_attr' specifies the LDAP attribute used for searching user entries during LDAP authentication. This parameter is utilized to configure the attribute which MySQL server will search for when authenticating users against an LDAP server. This option is available from MySQL version 8.0.17 onwards.,MySQL,0
authentication_policy,String,"The `authentication_policy` MySQL configuration parameter is used to define the password validation policy for user accounts. It determines the requirements and restrictions for creating and updating passwords, such as length, complexity, and expiration rules. This parameter was introduced in MySQL 8.0 to enhance security and flexibility in managing user authentication.",MySQL,0
authentication_webauthn_rp_id,String,The `authentication_webauthn_rp_id` MySQL configuration parameter specifies the Relying Party (RP) identifier when using WebAuthn for authentication within MySQL. This identifier helps establish trust between the MySQL server and the WebAuthn relying party during authentication processes. This parameter is available starting from MySQL 8.0.23.,MySQL,0
auto_increment_increment,Integer,The `auto_increment_increment` MySQL configuration parameter defines the increment value between successive AUTO_INCREMENT values. It is particularly useful in conjunction with `auto_increment_offset` for configuring how AUTO_INCREMENT columns generate unique values in a replication setup. The parameter is relevant for MySQL versions 5.6 and later.,MySQL,0
auto_increment_offset,Integer,"The MySQL configuration parameter ""auto_increment_offset"" specifies the starting point for auto-increment values in an auto-increment column. By setting this parameter, users can define a custom offset for the auto-increment values to begin from. This feature is available in MySQL 8.0 and later versions.",MySQL,0
autocommit,Boolean,"The 'autocommit' parameter in MySQL controls the automatic committing of transactions after each individual SQL statement is executed. When enabled, each statement is automatically committed to the database and cannot be rolled back. By default, autocommit is enabled in MySQL, meaning each statement is treated as a separate transaction that is committed immediately.",MySQL,0
automatic_sp_privileges,Boolean,"The `automatic_sp_privileges` MySQL configuration parameter, available from MySQL 8.0.26, controls whether definer privileges are automatically granted to stored programs during their creation. When set to `ON` (the default), the privileges of the definer account are assigned to the program without requiring manual grants. This feature simplifies permission management for stored procedures and functions.",MySQL,0
big_tables,Boolean,"The `big_tables` MySQL configuration parameter is no longer available as of MySQL 5.7. It was used to improve performance when working with large tables by allocating more memory for certain internal buffers. However, its functionality has been incorporated into other areas of MySQL optimization, making the `big_tables` parameter obsolete.",MySQL,0
binlog_cache_size,Integer,The `binlog_cache_size` parameter in MySQL specifies the size of the cache for binary log events. This cache is used to hold events before they are written to the binary log. Adjusting this parameter can impact the performance of writing binary log events in scenarios with high write activity. The default value for `binlog_cache_size` in MySQL is 32KB.,MySQL,0
binlog_checksum,String,"The MySQL configuration parameter `binlog_checksum` specifies the type of checksum used for binary log events before being written to the binary log file. This parameter helps ensure the integrity of the binary log data and can be set to values such as `NONE`, `CRC32`, or `CRC32C`. The `binlog_checksum` parameter is available in MySQL version 5.6.6 and later.",MySQL,0
binlog_direct_non_transactional_updates,Boolean,"The `binlog_direct_non_transactional_updates` MySQL configuration parameter enables direct writing of non-transactional updates to the binary log without buffering. This allows non-transactional updates to be written immediately to the binary log, improving replication performance. This parameter is available starting from MySQL version 5.6.5.",MySQL,0
binlog_encryption,Boolean,"The `binlog_encryption` parameter in MySQL enables encryption of binary log files to enhance security when replicating data between servers. By setting this parameter, the binary log files are encrypted, making it more challenging for unauthorized users to access sensitive data during replication processes. It is available in MySQL 8.0 and later versions.",MySQL,0
binlog_error_action,Enumeration,"The `binlog_error_action` parameter in MySQL determines the behavior of the server when errors occur during binary logging. It allows configuring whether the server should ignore errors, write them to the error log, or stop binary logging when errors are encountered. This parameter is available in MySQL 8.0 and later versions.",MySQL,0
binlog_expire_logs_auto_purge,Boolean,"The `binlog_expire_logs_auto_purge` configuration parameter in MySQL controls whether the binary log files are automatically purged by the server based on the expiration criteria. When enabled, it allows MySQL to automatically remove binary log files that are no longer needed, based on the specified criteria such as ""expire_logs_days"". This parameter helps in managing disk space by automatically removing old binary log files without manual intervention.",MySQL,0
binlog_expire_logs_seconds,Integer,The MySQL configuration parameter `binlog_expire_logs_seconds` specifies the number of seconds before binary log files are automatically purged. This helps manage the amount of disk space used by the binary logs. It is available in MySQL 5.6.23 and later versions.,MySQL,0
binlog_format,Enumeration,"The `binlog_format` MySQL configuration parameter determines the format of binary log events sent to the binary log file. This setting impacts the type of replication that can be supported (statement-based, row-based, or mixed) and influences the performance and data consistency of replication processes. The possible values for `binlog_format` are `STATEMENT`, `ROW`, and `MIXED`.",MySQL,0
binlog_group_commit_sync_delay,Integer,"The `binlog_group_commit_sync_delay` parameter in MySQL determines the time delay, in microseconds, for a group commit operation to wait before synchronizing binary log to disk. This parameter helps optimize the trade-off between commit latency and throughput in systems with high transaction rates. It is available starting from MySQL version 5.7.9.",MySQL,0
binlog_group_commit_sync_no_delay_count,Integer,"The `binlog_group_commit_sync_no_delay_count` parameter in MySQL determines the number of transactions to be committed in the binary log group commit mode before the sync operation is delayed. By adjusting this parameter, users can control the frequency at which the sync operation occurs, affecting the balance between performance and durability in write-heavy workloads. This parameter is available starting from MySQL 5.7.9.",MySQL,0
binlog_max_flush_queue_time,Integer,"The `binlog_max_flush_queue_time` parameter in MySQL specifies the maximum time in milliseconds that a binary log commit thread will wait for its flush operations to complete. Once the specified time threshold is reached, pending transactions will be forcibly committed to disk, improving durability guarantees. This parameter is available in MySQL 5.7.27 and later versions.",MySQL,0
binlog_order_commits,Boolean,"The `binlog_order_commits` parameter in MySQL controls the ordering of transactions in the binary log based on their commit order. When enabled, transactions are written to the binary log in the exact order in which they are committed on the server. This can be useful for ensuring consistency in replication scenarios. This parameter is available in MySQL 8.0 and later versions.",MySQL,0
binlog_row_image,Enumeration,"The binlog_row_image MySQL configuration parameter determines how row changes are logged in the binary log. It controls the format in which individual rows are written when changes are made to tables. Possible values for binlog_row_image are 'FULL', 'MINIMAL', and 'NOBLOB', influencing the granularity and volume of data captured in the binary log. This parameter is available starting from MySQL version 8.0.1.",MySQL,0
binlog_row_metadata,Enumeration,"The `binlog_row_metadata` parameter in MySQL is used to control the inclusion of additional metadata for row events in binary log files. When enabled, this metadata includes the database name and table name to provide more context about the changes being logged. This parameter is available starting from MySQL version 8.0.14.",MySQL,0
binlog_row_value_options,Set,The `binlog_row_value_options` configuration parameter in MySQL specifies a comma-separated list of flags that control the inclusion of metadata in row-based binary log events. This parameter allows customization of the data included in binary log events for row-based replication. It is available starting from MySQL version 8.0.23.,MySQL,0
binlog_rows_query_log_events,Boolean,The MySQL configuration parameter `binlog_rows_query_log_events` specifies the number of rows logged for query events replicated through binary logging. This parameter controls the minimum number of rows that must be changed in a table for the event to be logged to the binary log. The `binlog_rows_query_log_events` parameter is available in MySQL 8.0 and later versions.,MySQL,0
binlog_stmt_cache_size,Integer,The `binlog_stmt_cache_size` parameter in MySQL specifies the size in bytes of the statement cache within the binary log cache. This cache stores the text of statements that modify the database to reduce the overhead of writing statements to the binary log. It is available starting from MySQL version 5.7.5.,MySQL,0
binlog_transaction_compression,Boolean,The MySQL configuration parameter `binlog_transaction_compression` enables the compression of intermediate transaction states before being written to the binary log. This feature can help reduce the storage overhead of binary logs and can be useful in scenarios where disk space optimization is a priority. This parameter is available starting from MySQL version 5.7.8.,MySQL,0
binlog_transaction_compression_level_zstd,Integer,"Parameter Name: binlog_transaction_compression_level_zstd

Description: Controls the compression level used for Zstd compression on transactional binary logs (binlogs) in MySQL. The parameter specifies the compression level for the Zstandard (Zstd) algorithm applied to transactions recorded in the binary log files. The compression level ranges from 1 (lowest, fastest) to 22 (highest, slowest), allowing for a balance between compression ratio and performance.",MySQL,0
binlog_transaction_dependency_history_size,Integer,The `binlog_transaction_dependency_history_size` parameter in MySQL configures the number of transactions retained in the history list by the binary log group commit mechanism. This parameter helps optimize the performance of group commits by tracking dependencies among transactions. It is available in MySQL 8.0 and newer versions.,MySQL,0
block_encryption_mode,String,"The `block_encryption_mode` parameter in MySQL specifies the block cipher mode used for encryption operations in the InnoDB storage engine. It allows users to choose between different encryption modes such as AES modes like cbc, ctr, and gcm. This parameter was introduced in MySQL 5.7.11 and is available in later versions.",MySQL,0
bulk_insert_buffer_size,Integer,"The `bulk_insert_buffer_size` parameter in MySQL determines the size of the buffer used for bulk insert optimization. When performing bulk inserts, this buffer can help improve insertion performance by reducing disk I/O. It is recommended to adjust this parameter based on the size of the data being inserted to optimize performance. This parameter is applicable to MySQL versions up to 5.7.",MySQL,0
character_set_client,String,The `character_set_client` MySQL configuration parameter specifies the character set used by the client when sending data to the server. It determines how the client encodes its queries before sending them to the server. This parameter helps ensure proper communication between the client and server by defining the character set compatibility.,MySQL,0
character_set_connection,String,The `character_set_connection` parameter in MySQL defines the character set to be used for the connection between the client and server. The specified character set determines how data is interpreted and displayed. This parameter can be set at both the server and session level to ensure consistent encoding throughout database operations.,MySQL,0
character_set_database,String,"The `character_set_database` MySQL configuration parameter specifies the character set encoding to be used for the database. By setting this parameter, you can define the character set for data stored within the database. It ensures consistent encoding for text data at the database level. This parameter is available in MySQL versions 5.6 and above.",MySQL,0
character_set_filesystem,String,The `character_set_filesystem` MySQL configuration parameter defines the character set used to interpret strings stored in file names. This parameter can enforce the character set conversion for file system operations such as LOAD DATA INFILE or providing file names to SQL statements. It is a session-level variable and does not require a server restart to take effect.,MySQL,0
character_set_results,String,"The `character_set_results` MySQL configuration parameter specifies the character set in which query results are returned to the client. This setting determines the encoding used for result sets, enabling compatibility between the server and client for proper data display. It can be adjusted to align with the client's character set requirements, ensuring accurate data presentation.",MySQL,0
character_set_server,String,"The `character_set_server` MySQL configuration parameter specifies the character set in which the server operates for data storage and retrieval. This setting determines the default character set used for data stored in tables, sent by the server to clients, and received from clients. It is essential for ensuring data consistency and proper encoding handling within the server environment.",MySQL,0
check_proxy_users,Boolean,"The ""check_proxy_users"" MySQL configuration parameter is used to enable proxy user mapping validation within the server. When enabled, MySQL will verify that proxy users listed in the mysql.proxies_priv table have the necessary privileges to execute operations on behalf of the proxied users. This parameter is available starting from MySQL version 8.0.16.",MySQL,0
clone_autotune_concurrency,Boolean,The `clone_autotune_concurrency` MySQL configuration parameter is not a recognized or documented server parameter in MySQL. It seems to be a fictitious parameter and does not correspond to any official MySQL feature or setting. It is recommended to review the official MySQL documentation for accurate information on available server parameters.,MySQL,0
clone_block_ddl,Boolean,"The `clone_block_ddl` MySQL configuration parameter is not a standard MySQL server parameter found in the official MySQL documentation. Please ensure you have the correct parameter name, or consider checking the latest MySQL documentation for any additions or changes to server parameters.",MySQL,0
clone_buffer_size,Integer,"The `clone_buffer_size` parameter in MySQL specifies the size of the buffer used during clone operations, such as when taking a binary log position for replication or creating a clone instance. This buffer is used to hold transferred data during the clone process to improve performance. It is available in MySQL 8.0 and later versions.",MySQL,0
clone_ddl_timeout,Integer,"The `clone_ddl_timeout` MySQL configuration parameter sets the timeout value for data definition language (DDL) operations during an asynchronous clone procedure. This parameter specifies the maximum amount of time, in seconds, the server waits for DDL operations to complete before timing out. This parameter is available starting from MySQL 8.0.21.",MySQL,0
