knob_name,type,description
binlog_cache_size,Integer,The `binlog_cache_size` parameter in MySQL specifies the size of the cache for binary log events. This cache is used to hold events before they are written to the binary log. Adjusting this parameter can impact the performance of writing binary log events in scenarios with high write activity. The default value for `binlog_cache_size` in MySQL is 32KB.
binlog_checksum,String,"The MySQL configuration parameter `binlog_checksum` specifies the type of checksum used for binary log events before being written to the binary log file. This parameter helps ensure the integrity of the binary log data and can be set to values such as `NONE`, `CRC32`, or `CRC32C`. The `binlog_checksum` parameter is available in MySQL version 5.6.6 and later."
binlog_direct_non_transactional_updates,Boolean,"The `binlog_direct_non_transactional_updates` MySQL configuration parameter enables direct writing of non-transactional updates to the binary log without buffering. This allows non-transactional updates to be written immediately to the binary log, improving replication performance. This parameter is available starting from MySQL version 5.6.5."
binlog_encryption,Boolean,"The `binlog_encryption` parameter in MySQL enables encryption of binary log files to enhance security when replicating data between servers. By setting this parameter, the binary log files are encrypted, making it more challenging for unauthorized users to access sensitive data during replication processes. It is available in MySQL 8.0 and later versions."
binlog_error_action,Enumeration,"The `binlog_error_action` parameter in MySQL determines the behavior of the server when errors occur during binary logging. It allows configuring whether the server should ignore errors, write them to the error log, or stop binary logging when errors are encountered. This parameter is available in MySQL 8.0 and later versions."
binlog_expire_logs_auto_purge,Boolean,"The `binlog_expire_logs_auto_purge` configuration parameter in MySQL controls whether the binary log files are automatically purged by the server based on the expiration criteria. When enabled, it allows MySQL to automatically remove binary log files that are no longer needed, based on the specified criteria such as ""expire_logs_days"". This parameter helps in managing disk space by automatically removing old binary log files without manual intervention."
binlog_expire_logs_seconds,Integer,The MySQL configuration parameter `binlog_expire_logs_seconds` specifies the number of seconds before binary log files are automatically purged. This helps manage the amount of disk space used by the binary logs. It is available in MySQL 5.6.23 and later versions.
binlog_format,Enumeration,"The `binlog_format` MySQL configuration parameter determines the format of binary log events sent to the binary log file. This setting impacts the type of replication that can be supported (statement-based, row-based, or mixed) and influences the performance and data consistency of replication processes. The possible values for `binlog_format` are `STATEMENT`, `ROW`, and `MIXED`."
binlog_group_commit_sync_delay,Integer,"The `binlog_group_commit_sync_delay` parameter in MySQL determines the time delay, in microseconds, for a group commit operation to wait before synchronizing binary log to disk. This parameter helps optimize the trade-off between commit latency and throughput in systems with high transaction rates. It is available starting from MySQL version 5.7.9."
binlog_group_commit_sync_no_delay_count,Integer,"The `binlog_group_commit_sync_no_delay_count` parameter in MySQL determines the number of transactions to be committed in the binary log group commit mode before the sync operation is delayed. By adjusting this parameter, users can control the frequency at which the sync operation occurs, affecting the balance between performance and durability in write-heavy workloads. This parameter is available starting from MySQL 5.7.9."
binlog_max_flush_queue_time,Integer,"The `binlog_max_flush_queue_time` parameter in MySQL specifies the maximum time in milliseconds that a binary log commit thread will wait for its flush operations to complete. Once the specified time threshold is reached, pending transactions will be forcibly committed to disk, improving durability guarantees. This parameter is available in MySQL 5.7.27 and later versions."
binlog_order_commits,Boolean,"The `binlog_order_commits` parameter in MySQL controls the ordering of transactions in the binary log based on their commit order. When enabled, transactions are written to the binary log in the exact order in which they are committed on the server. This can be useful for ensuring consistency in replication scenarios. This parameter is available in MySQL 8.0 and later versions."
binlog_row_image,Enumeration,"The binlog_row_image MySQL configuration parameter determines how row changes are logged in the binary log. It controls the format in which individual rows are written when changes are made to tables. Possible values for binlog_row_image are 'FULL', 'MINIMAL', and 'NOBLOB', influencing the granularity and volume of data captured in the binary log. This parameter is available starting from MySQL version 8.0.1."
binlog_row_metadata,Enumeration,"The `binlog_row_metadata` parameter in MySQL is used to control the inclusion of additional metadata for row events in binary log files. When enabled, this metadata includes the database name and table name to provide more context about the changes being logged. This parameter is available starting from MySQL version 8.0.14."
binlog_row_value_options,Set,The `binlog_row_value_options` configuration parameter in MySQL specifies a comma-separated list of flags that control the inclusion of metadata in row-based binary log events. This parameter allows customization of the data included in binary log events for row-based replication. It is available starting from MySQL version 8.0.23.
binlog_rows_query_log_events,Boolean,The MySQL configuration parameter `binlog_rows_query_log_events` specifies the number of rows logged for query events replicated through binary logging. This parameter controls the minimum number of rows that must be changed in a table for the event to be logged to the binary log. The `binlog_rows_query_log_events` parameter is available in MySQL 8.0 and later versions.
binlog_stmt_cache_size,Integer,The `binlog_stmt_cache_size` parameter in MySQL specifies the size in bytes of the statement cache within the binary log cache. This cache stores the text of statements that modify the database to reduce the overhead of writing statements to the binary log. It is available starting from MySQL version 5.7.5.
binlog_transaction_compression,Boolean,The MySQL configuration parameter `binlog_transaction_compression` enables the compression of intermediate transaction states before being written to the binary log. This feature can help reduce the storage overhead of binary logs and can be useful in scenarios where disk space optimization is a priority. This parameter is available starting from MySQL version 5.7.8.
binlog_transaction_compression_level_zstd,Integer,"Parameter Name: binlog_transaction_compression_level_zstd

Description: Controls the compression level used for Zstd compression on transactional binary logs (binlogs) in MySQL. The parameter specifies the compression level for the Zstandard (Zstd) algorithm applied to transactions recorded in the binary log files. The compression level ranges from 1 (lowest, fastest) to 22 (highest, slowest), allowing for a balance between compression ratio and performance."
binlog_transaction_dependency_history_size,Integer,The `binlog_transaction_dependency_history_size` parameter in MySQL configures the number of transactions retained in the history list by the binary log group commit mechanism. This parameter helps optimize the performance of group commits by tracking dependencies among transactions. It is available in MySQL 8.0 and newer versions.
block_encryption_mode,String,"The `block_encryption_mode` parameter in MySQL specifies the block cipher mode used for encryption operations in the InnoDB storage engine. It allows users to choose between different encryption modes such as AES modes like cbc, ctr, and gcm. This parameter was introduced in MySQL 5.7.11 and is available in later versions."
bulk_insert_buffer_size,Integer,"The `bulk_insert_buffer_size` parameter in MySQL determines the size of the buffer used for bulk insert optimization. When performing bulk inserts, this buffer can help improve insertion performance by reducing disk I/O. It is recommended to adjust this parameter based on the size of the data being inserted to optimize performance. This parameter is applicable to MySQL versions up to 5.7."
character_set_client,String,The `character_set_client` MySQL configuration parameter specifies the character set used by the client when sending data to the server. It determines how the client encodes its queries before sending them to the server. This parameter helps ensure proper communication between the client and server by defining the character set compatibility.
character_set_connection,String,The `character_set_connection` parameter in MySQL defines the character set to be used for the connection between the client and server. The specified character set determines how data is interpreted and displayed. This parameter can be set at both the server and session level to ensure consistent encoding throughout database operations.
character_set_database,String,"The `character_set_database` MySQL configuration parameter specifies the character set encoding to be used for the database. By setting this parameter, you can define the character set for data stored within the database. It ensures consistent encoding for text data at the database level. This parameter is available in MySQL versions 5.6 and above."
character_set_filesystem,String,The `character_set_filesystem` MySQL configuration parameter defines the character set used to interpret strings stored in file names. This parameter can enforce the character set conversion for file system operations such as LOAD DATA INFILE or providing file names to SQL statements. It is a session-level variable and does not require a server restart to take effect.
character_set_results,String,"The `character_set_results` MySQL configuration parameter specifies the character set in which query results are returned to the client. This setting determines the encoding used for result sets, enabling compatibility between the server and client for proper data display. It can be adjusted to align with the client's character set requirements, ensuring accurate data presentation."
character_set_server,String,"The `character_set_server` MySQL configuration parameter specifies the character set in which the server operates for data storage and retrieval. This setting determines the default character set used for data stored in tables, sent by the server to clients, and received from clients. It is essential for ensuring data consistency and proper encoding handling within the server environment."
check_proxy_users,Boolean,"The ""check_proxy_users"" MySQL configuration parameter is used to enable proxy user mapping validation within the server. When enabled, MySQL will verify that proxy users listed in the mysql.proxies_priv table have the necessary privileges to execute operations on behalf of the proxied users. This parameter is available starting from MySQL version 8.0.16."
clone_autotune_concurrency,Boolean,The `clone_autotune_concurrency` MySQL configuration parameter is not a recognized or documented server parameter in MySQL. It seems to be a fictitious parameter and does not correspond to any official MySQL feature or setting. It is recommended to review the official MySQL documentation for accurate information on available server parameters.
clone_block_ddl,Boolean,"The `clone_block_ddl` MySQL configuration parameter is not a standard MySQL server parameter found in the official MySQL documentation. Please ensure you have the correct parameter name, or consider checking the latest MySQL documentation for any additions or changes to server parameters."
clone_buffer_size,Integer,"The `clone_buffer_size` parameter in MySQL specifies the size of the buffer used during clone operations, such as when taking a binary log position for replication or creating a clone instance. This buffer is used to hold transferred data during the clone process to improve performance. It is available in MySQL 8.0 and later versions."
clone_ddl_timeout,Integer,"The `clone_ddl_timeout` MySQL configuration parameter sets the timeout value for data definition language (DDL) operations during an asynchronous clone procedure. This parameter specifies the maximum amount of time, in seconds, the server waits for DDL operations to complete before timing out. This parameter is available starting from MySQL 8.0.21."
clone_delay_after_data_drop,Integer,The `clone_delay_after_data_drop` MySQL configuration parameter specifies the delay in seconds before cloning operations start after data is dropped on the source during a clone operation. This parameter allows controlling the synchronization timing to avoid performance impact on the source system during cloning processes. This parameter is available starting from MySQL version 8.0.23.
clone_donor_timeout_after_network_failure,Integer,"The `clone_donor_timeout_after_network_failure` MySQL configuration parameter specifies the maximum time, in milliseconds, that a clone donor server waits for network communication to be restored after a network failure. If the network connection is not reestablished within this timeframe, the server considers the network connection to be permanently lost and terminates the clone operation. This parameter is available in MySQL 8.0.23 and higher versions."
clone_enable_compression,Boolean,"The `clone_enable_compression` MySQL configuration parameter is used to enable compression when cloning from an InnoDB tablespace. Setting this parameter to `ON` allows for the use of compression during the cloning process, which can help reduce the size of the cloned tablespace. This parameter is available starting from MySQL 8.0.19."
clone_max_concurrency,Integer,"Parameter: clone_max_concurrency

Description:
clone_max_concurrency defines the maximum number of parallel clone threads allowed during cloning operations in MySQL Group Replication. By setting this parameter, you can control the concurrency level for the cloning process, which copies data from an existing member to a new group member. This parameter is available in MySQL 8.0.21 and later versions."
clone_max_data_bandwidth,Integer,"The `clone_max_data_bandwidth` parameter in MySQL specifies the maximum bandwidth limit, in bytes per second, for the clone plugin data transfer during the cloning operation. This parameter helps control the rate at which data is transferred when cloning a database instance. It is available starting from MySQL 8.0.23."
