knob_name,type,description
ssl_ca_file,string,"Specifies the name of the file containing the SSL server certificate authority (CA). Relative paths are relative to the data directory. This parameter can only be set in thepostgresql.conffile or on the server command line. The default is empty, meaning no CA file is loaded, and client certificate verification is not performed."
ssl_cert_file,string,Specifies the name of the file containing the SSL server certificate. Relative paths are relative to the data directory. This parameter can only be set in thepostgresql.conffile or on the server command line. The default isserver.crt.
ssl_crl_file,string,"Specifies the name of the file containing the SSL client certificate revocation list (CRL). Relative paths are relative to the data directory. This parameter can only be set in thepostgresql.conffile or on the server command line. The default is empty, meaning no CRL file is loaded (unlessssl_crl_diris set)."
ssl_crl_dir,string,"Specifies the name of the directory containing the SSL client certificate revocation list (CRL). Relative paths are relative to the data directory. This parameter can only be set in thepostgresql.conffile or on the server command line. The default is empty, meaning no CRLs are used (unlessssl_crl_fileis set).The directory needs to be prepared with theOpenSSLcommandopenssl rehashorc_rehash. See its documentation for details.When using this setting, CRLs in the specified directory are loaded on-demand at connection time. New CRLs can be added to the directory and will be used immediately. This is unlikessl_crl_file, which causes the CRL in the file to be loaded at server start time or when the configuration is reloaded. Both settings can be used together."
ssl_key_file,string,Specifies the name of the file containing the SSL server private key. Relative paths are relative to the data directory. This parameter can only be set in thepostgresql.conffile or on the server command line. The default isserver.key.
ssl_ciphers,string,"Specifies a list ofSSLcipher suites that are allowed to be used by SSL connections. See theciphersmanual page in theOpenSSLpackage for the syntax of this setting and a list of supported values. Only connections using TLS version 1.2 and lower are affected. There is currently no setting that controls the cipher choices used by TLS version 1.3 connections. The default value isHIGH:MEDIUM:+3DES:!aNULL. The default is usually a reasonable choice unless you have specific security requirements.This parameter can only be set in thepostgresql.conffile or on the server command line.Explanation of the default value:HIGH#Cipher suites that use ciphers fromHIGHgroup (e.g., AES, Camellia, 3DES)MEDIUM#Cipher suites that use ciphers fromMEDIUMgroup (e.g., RC4, SEED)+3DES#TheOpenSSLdefault order forHIGHis problematic because it orders 3DES higher than AES128. This is wrong because 3DES offers less security than AES128, and it is also much slower.+3DESreorders it after all otherHIGHandMEDIUMciphers.!aNULL#Disables anonymous cipher suites that do no authentication. Such cipher suites are vulnerable toMITMattacks and therefore should not be used.Available cipher suite details will vary acrossOpenSSLversions. Use the commandopenssl ciphers -v 'HIGH:MEDIUM:+3DES:!aNULL'to see actual details for the currently installedOpenSSLversion. Note that this list is filtered at run time based on the server key type."
ssl_prefer_server_ciphers,boolean,"Specifies whether to use the server's SSL cipher preferences, rather than the client's. This parameter can only be set in thepostgresql.conffile or on the server command line. The default ison.PostgreSQLversions before 9.4 do not have this setting and always use the client's preferences. This setting is mainly for backward compatibility with those versions. Using the server's preferences is usually better because it is more likely that the server is appropriately configured."
ssl_ecdh_curve,string,"Specifies the name of the curve to use inECDHkey exchange. It needs to be supported by all clients that connect. It does not need to be the same curve used by the server's Elliptic Curve key. This parameter can only be set in thepostgresql.conffile or on the server command line. The default isprime256v1.OpenSSLnames for the most common curves are:prime256v1(NIST P-256),secp384r1(NIST P-384),secp521r1(NIST P-521). The full list of available curves can be shown with the commandopenssl ecparam -list_curves. Not all of them are usable inTLSthough."
ssl_min_protocol_version,enum,"Sets the minimum SSL/TLS protocol version to use. Valid values are currently:TLSv1,TLSv1.1,TLSv1.2,TLSv1.3. Older versions of theOpenSSLlibrary do not support all values; an error will be raised if an unsupported setting is chosen. Protocol versions before TLS 1.0, namely SSL version 2 and 3, are always disabled.The default isTLSv1.2, which satisfies industry best practices as of this writing.This parameter can only be set in thepostgresql.conffile or on the server command line."
ssl_max_protocol_version,enum,"Sets the maximum SSL/TLS protocol version to use. Valid values are as forssl_min_protocol_version, with addition of an empty string, which allows any protocol version. The default is to allow any version. Setting the maximum protocol version is mainly useful for testing or if some component has issues working with a newer protocol.This parameter can only be set in thepostgresql.conffile or on the server command line."
ssl_dh_params_file,string,"Specifies the name of the file containing Diffie-Hellman parameters used for so-called ephemeral DH family of SSL ciphers. The default is empty, in which case compiled-in default DH parameters used. Using custom DH parameters reduces the exposure if an attacker manages to crack the well-known compiled-in DH parameters. You can create your own DH parameters file with the commandopenssl dhparam -out dhparams.pem 2048.This parameter can only be set in thepostgresql.conffile or on the server command line."
ssl_passphrase_command,string,"Sets an external command to be invoked when a passphrase for decrypting an SSL file such as a private key needs to be obtained. By default, this parameter is empty, which means the built-in prompting mechanism is used.The command must print the passphrase to the standard output and exit with code 0. In the parameter value,%pis replaced by a prompt string. (Write%%for a literal%.) Note that the prompt string will probably contain whitespace, so be sure to quote adequately. A single newline is stripped from the end of the output if present.The command does not actually have to prompt the user for a passphrase. It can read it from a file, obtain it from a keychain facility, or similar. It is up to the user to make sure the chosen mechanism is adequately secure.This parameter can only be set in thepostgresql.conffile or on the server command line."
ssl_passphrase_command_supports_reload,boolean,"This parameter determines whether the passphrase command set byssl_passphrase_commandwill also be called during a configuration reload if a key file needs a passphrase. If this parameter is off (the default), thenssl_passphrase_commandwill be ignored during a reload and the SSL configuration will not be reloaded if a passphrase is needed. That setting is appropriate for a command that requires a TTY for prompting, which might not be available when the server is running. Setting this parameter to on might be appropriate if the passphrase is obtained from a file, for example.This parameter can only be set in thepostgresql.conffile or on the server command line."
shared_buffers,integer,"Sets the amount of memory the database server uses for shared memory buffers. The default is typically 128 megabytes (128MB), but might be less if your kernel settings will not support it (as determined duringinitdb). This setting must be at least 128 kilobytes. However, settings significantly higher than the minimum are usually needed for good performance. If this value is specified without units, it is taken as blocks, that isBLCKSZbytes, typically 8kB. (Non-default values ofBLCKSZchange the minimum value.) This parameter can only be set at server start.If you have a dedicated database server with 1GB or more of RAM, a reasonable starting value forshared_buffersis 25% of the memory in your system. There are some workloads where even larger settings forshared_buffersare effective, but becausePostgreSQLalso relies on the operating system cache, it is unlikely that an allocation of more than 40% of RAM toshared_bufferswill work better than a smaller amount. Larger settings forshared_buffersusually require a corresponding increase inmax_wal_size, in order to spread out the process of writing large quantities of new or changed data over a longer period of time.On systems with less than 1GB of RAM, a smaller percentage of RAM is appropriate, so as to leave adequate space for the operating system."
huge_pages,enum,"Controls whether huge pages are requested for the main shared memory area. Valid values aretry(the default),on, andoff. Withhuge_pagesset totry, the server will try to request huge pages, but fall back to the default if that fails. Withon, failure to request huge pages will prevent the server from starting up. Withoff, huge pages will not be requested. The actual state of huge pages is indicated by the server variablehuge_pages_status.At present, this setting is supported only on Linux and Windows. The setting is ignored on other systems when set totry. On Linux, it is only supported whenshared_memory_typeis set tommap(the default).The use of huge pages results in smaller page tables and less CPU time spent on memory management, increasing performance. For more details about using huge pages on Linux, seeSection 18.4.5.Huge pages are known as large pages on Windows. To use them, you need to assign the user right“Lock pages in memory”to the Windows user account that runsPostgreSQL. You can use Windows Group Policy tool (gpedit.msc) to assign the user right“Lock pages in memory”. To start the database server on the command prompt as a standalone process, not as a Windows service, the command prompt must be run as an administrator or User Access Control (UAC) must be disabled. When the UAC is enabled, the normal command prompt revokes the user right“Lock pages in memory”when started.Note that this setting only affects the main shared memory area. Operating systems such as Linux, FreeBSD, and Illumos can also use huge pages (also known as“super”pages or“large”pages) automatically for normal memory allocation, without an explicit request fromPostgreSQL. On Linux, this is called“transparent huge pages”(THP). That feature has been known to cause performance degradation withPostgreSQLfor some users on some Linux versions, so its use is currently discouraged (unlike explicit use ofhuge_pages)."
huge_page_size,integer,"Controls the size of huge pages, when they are enabled withhuge_pages. The default is zero (0). When set to0, the default huge page size on the system will be used. This parameter can only be set at server start.Some commonly available page sizes on modern 64 bit server architectures include:2MBand1GB(Intel and AMD),16MBand16GB(IBM POWER), and64kB,2MB,32MBand1GB(ARM). For more information about usage and support, seeSection 18.4.5.Non-default settings are currently supported only on Linux."
temp_buffers,integer,"Sets the maximum amount of memory used for temporary buffers within each database session. These are session-local buffers used only for access to temporary tables. If this value is specified without units, it is taken as blocks, that isBLCKSZbytes, typically 8kB. The default is eight megabytes (8MB). (IfBLCKSZis not 8kB, the default value scales proportionally to it.) This setting can be changed within individual sessions, but only before the first use of temporary tables within the session; subsequent attempts to change the value will have no effect on that session.A session will allocate temporary buffers as needed up to the limit given bytemp_buffers. The cost of setting a large value in sessions that do not actually need many temporary buffers is only a buffer descriptor, or about 64 bytes, per increment intemp_buffers. However if a buffer is actually used an additional 8192 bytes will be consumed for it (or in general,BLCKSZbytes)."
max_prepared_transactions,integer,"Sets the maximum number of transactions that can be in the“prepared”state simultaneously (seePREPARE TRANSACTION). Setting this parameter to zero (which is the default) disables the prepared-transaction feature. This parameter can only be set at server start.If you are not planning to use prepared transactions, this parameter should be set to zero to prevent accidental creation of prepared transactions. If you are using prepared transactions, you will probably wantmax_prepared_transactionsto be at least as large asmax_connections, so that every session can have a prepared transaction pending.When running a standby server, you must set this parameter to the same or higher value than on the primary server. Otherwise, queries will not be allowed in the standby server."
work_mem,integer,"Sets the base maximum amount of memory to be used by a query operation (such as a sort or hash table) before writing to temporary disk files. If this value is specified without units, it is taken as kilobytes. The default value is four megabytes (4MB). Note that a complex query might perform several sort and hash operations at the same time, with each operation generally being allowed to use as much memory as this value specifies before it starts to write data into temporary files. Also, several running sessions could be doing such operations concurrently. Therefore, the total memory used could be many times the value ofwork_mem; it is necessary to keep this fact in mind when choosing the value. Sort operations are used forORDER BY,DISTINCT, and merge joins. Hash tables are used in hash joins, hash-based aggregation, memoize nodes and hash-based processing ofINsubqueries.Hash-based operations are generally more sensitive to memory availability than equivalent sort-based operations. The memory limit for a hash table is computed by multiplyingwork_membyhash_mem_multiplier. This makes it possible for hash-based operations to use an amount of memory that exceeds the usualwork_membase amount."
hash_mem_multiplier,floating point,"Used to compute the maximum amount of memory that hash-based operations can use. The final limit is determined by multiplyingwork_membyhash_mem_multiplier. The default value is 2.0, which makes hash-based operations use twice the usualwork_membase amount.Consider increasinghash_mem_multiplierin environments where spilling by query operations is a regular occurrence, especially when simply increasingwork_memresults in memory pressure (memory pressure typically takes the form of intermittent out of memory errors). The default setting of 2.0 is often effective with mixed workloads. Higher settings in the range of 2.0 - 8.0 or more may be effective in environments wherework_memhas already been increased to 40MB or more."
maintenance_work_mem,integer,"Specifies the maximum amount of memory to be used by maintenance operations, such asVACUUM,CREATE INDEX, andALTER TABLE ADD FOREIGN KEY. If this value is specified without units, it is taken as kilobytes. It defaults to 64 megabytes (64MB). Since only one of these operations can be executed at a time by a database session, and an installation normally doesn't have many of them running concurrently, it's safe to set this value significantly larger thanwork_mem. Larger settings might improve performance for vacuuming and for restoring database dumps.Note that when autovacuum runs, up toautovacuum_max_workerstimes this memory may be allocated, so be careful not to set the default value too high. It may be useful to control for this by separately settingautovacuum_work_mem."
autovacuum_work_mem,integer,"Specifies the maximum amount of memory to be used by each autovacuum worker process. If this value is specified without units, it is taken as kilobytes. It defaults to -1, indicating that the value ofmaintenance_work_memshould be used instead. The setting has no effect on the behavior ofVACUUMwhen run in other contexts. This parameter can only be set in thepostgresql.conffile or on the server command line."
vacuum_buffer_usage_limit,integer,"Specifies the size of theBuffer Access Strategyused by theVACUUMandANALYZEcommands. A setting of0will allow the operation to use any number ofshared_buffers. Otherwise valid sizes range from128 kBto16 GB. If the specified size would exceed 1/8 the size ofshared_buffers, the size is silently capped to that value. The default value is2MB. If this value is specified without units, it is taken as kilobytes. This parameter can be set at any time. It can be overridden forVACUUMandANALYZEwhen passing theBUFFER_USAGE_LIMIToption. Higher settings can allowVACUUMandANALYZEto run more quickly, but having too large a setting may cause too many other useful pages to be evicted from shared buffers."
logical_decoding_work_mem,integer,"Specifies the maximum amount of memory to be used by logical decoding, before some of the decoded changes are written to local disk. This limits the amount of memory used by logical streaming replication connections. It defaults to 64 megabytes (64MB). Since each replication connection only uses a single buffer of this size, and an installation normally doesn't have many such connections concurrently (as limited bymax_wal_senders), it's safe to set this value significantly higher thanwork_mem, reducing the amount of decoded changes written to disk."
commit_timestamp_buffers,integer,"Specifies the amount of memory to use to cache the contents ofpg_commit_ts(seeTable 65.1). If this value is specified without units, it is taken as blocks, that isBLCKSZbytes, typically 8kB. The default value is0, which requestsshared_buffers/512 up to 1024 blocks, but not fewer than 16 blocks. This parameter can only be set at server start."
multixact_member_buffers,integer,"Specifies the amount of shared memory to use to cache the contents ofpg_multixact/members(seeTable 65.1). If this value is specified without units, it is taken as blocks, that isBLCKSZbytes, typically 8kB. The default value is32. This parameter can only be set at server start."
multixact_offset_buffers,integer,"Specifies the amount of shared memory to use to cache the contents ofpg_multixact/offsets(seeTable 65.1). If this value is specified without units, it is taken as blocks, that isBLCKSZbytes, typically 8kB. The default value is16. This parameter can only be set at server start."
notify_buffers,integer,"Specifies the amount of shared memory to use to cache the contents ofpg_notify(seeTable 65.1). If this value is specified without units, it is taken as blocks, that isBLCKSZbytes, typically 8kB. The default value is16. This parameter can only be set at server start."
serializable_buffers,integer,"Specifies the amount of shared memory to use to cache the contents ofpg_serial(seeTable 65.1). If this value is specified without units, it is taken as blocks, that isBLCKSZbytes, typically 8kB. The default value is32. This parameter can only be set at server start."
subtransaction_buffers,integer,"Specifies the amount of shared memory to use to cache the contents ofpg_subtrans(seeTable 65.1). If this value is specified without units, it is taken as blocks, that isBLCKSZbytes, typically 8kB. The default value is0, which requestsshared_buffers/512 up to 1024 blocks, but not fewer than 16 blocks. This parameter can only be set at server start."
transaction_buffers,integer,"Specifies the amount of shared memory to use to cache the contents ofpg_xact(seeTable 65.1). If this value is specified without units, it is taken as blocks, that isBLCKSZbytes, typically 8kB. The default value is0, which requestsshared_buffers/512 up to 1024 blocks, but not fewer than 16 blocks. This parameter can only be set at server start."
max_stack_depth,integer,"Specifies the maximum safe depth of the server's execution stack. The ideal setting for this parameter is the actual stack size limit enforced by the kernel (as set byulimit -sor local equivalent), less a safety margin of a megabyte or so. The safety margin is needed because the stack depth is not checked in every routine in the server, but only in key potentially-recursive routines. If this value is specified without units, it is taken as kilobytes. The default setting is two megabytes (2MB), which is conservatively small and unlikely to risk crashes. However, it might be too small to allow execution of complex functions. Only superusers and users with the appropriateSETprivilege can change this setting.Settingmax_stack_depthhigher than the actual kernel limit will mean that a runaway recursive function can crash an individual backend process. On platforms wherePostgreSQLcan determine the kernel limit, the server will not allow this variable to be set to an unsafe value. However, not all platforms provide the information, so caution is recommended in selecting a value."
shared_memory_type,enum,"Specifies the shared memory implementation that the server should use for the main shared memory region that holdsPostgreSQL's shared buffers and other shared data. Possible values aremmap(for anonymous shared memory allocated usingmmap),sysv(for System V shared memory allocated viashmget) andwindows(for Windows shared memory). Not all values are supported on all platforms; the first supported option is the default for that platform. The use of thesysvoption, which is not the default on any platform, is generally discouraged because it typically requires non-default kernel settings to allow for large allocations (seeSection 18.4.1)."
dynamic_shared_memory_type,enum,"Specifies the dynamic shared memory implementation that the server should use. Possible values areposix(for POSIX shared memory allocated usingshm_open),sysv(for System V shared memory allocated viashmget),windows(for Windows shared memory), andmmap(to simulate shared memory using memory-mapped files stored in the data directory). Not all values are supported on all platforms; the first supported option is usually the default for that platform. The use of themmapoption, which is not the default on any platform, is generally discouraged because the operating system may write modified pages back to disk repeatedly, increasing system I/O load; however, it may be useful for debugging, when thepg_dynshmemdirectory is stored on a RAM disk, or when other shared memory facilities are not available."
min_dynamic_shared_memory,integer,"Specifies the amount of memory that should be allocated at server startup for use by parallel queries. When this memory region is insufficient or exhausted by concurrent queries, new parallel queries try to allocate extra shared memory temporarily from the operating system using the method configured withdynamic_shared_memory_type, which may be slower due to memory management overheads. Memory that is allocated at startup withmin_dynamic_shared_memoryis affected by thehuge_pagessetting on operating systems where that is supported, and may be more likely to benefit from larger pages on operating systems where that is managed automatically. The default value is0(none). This parameter can only be set at server start."
temp_file_limit,integer,"Specifies the maximum amount of disk space that a process can use for temporary files, such as sort and hash temporary files, or the storage file for a held cursor. A transaction attempting to exceed this limit will be canceled. If this value is specified without units, it is taken as kilobytes.-1(the default) means no limit. Only superusers and users with the appropriateSETprivilege can change this setting.This setting constrains the total space used at any instant by all temporary files used by a givenPostgreSQLprocess. It should be noted that disk space used for explicit temporary tables, as opposed to temporary files used behind-the-scenes in query execution, doesnotcount against this limit."
max_notify_queue_pages,integer,Specifies the maximum amount of allocated pages forNOTIFY/LISTENqueue. The default value is 1048576. For 8 KB pages it allows to consume up to 8 GB of disk space.
max_files_per_process,integer,"Sets the maximum number of simultaneously open files allowed to each server subprocess. The default is one thousand files. If the kernel is enforcing a safe per-process limit, you don't need to worry about this setting. But on some platforms (notably, most BSD systems), the kernel will allow individual processes to open many more files than the system can actually support if many processes all try to open that many files. If you find yourself seeing“Too many open files”failures, try reducing this setting. This parameter can only be set at server start."
vacuum_cost_delay,floating point,"The amount of time that the process will sleep when the cost limit has been exceeded. If this value is specified without units, it is taken as milliseconds. The default value is zero, which disables the cost-based vacuum delay feature. Positive values enable cost-based vacuuming.When using cost-based vacuuming, appropriate values forvacuum_cost_delayare usually quite small, perhaps less than 1 millisecond. Whilevacuum_cost_delaycan be set to fractional-millisecond values, such delays may not be measured accurately on older platforms. On such platforms, increasingVACUUM's throttled resource consumption above what you get at 1ms will require changing the other vacuum cost parameters. You should, nonetheless, keepvacuum_cost_delayas small as your platform will consistently measure; large delays are not helpful."
vacuum_cost_page_hit,integer,"The estimated cost for vacuuming a buffer found in the shared buffer cache. It represents the cost to lock the buffer pool, lookup the shared hash table and scan the content of the page. The default value is one."
vacuum_cost_page_miss,integer,"The estimated cost for vacuuming a buffer that has to be read from disk. This represents the effort to lock the buffer pool, lookup the shared hash table, read the desired block in from the disk and scan its content. The default value is 2."
vacuum_cost_page_dirty,integer,The estimated cost charged when vacuum modifies a block that was previously clean. It represents the extra I/O required to flush the dirty block out to disk again. The default value is 20.
vacuum_cost_limit,integer,This is the accumulated cost that will cause the vacuuming process to sleep forvacuum_cost_delay. The default is 200.
bgwriter_delay,integer,"Specifies the delay between activity rounds for the background writer. In each round the writer issues writes for some number of dirty buffers (controllable by the following parameters). It then sleeps for the length ofbgwriter_delay, and repeats. When there are no dirty buffers in the buffer pool, though, it goes into a longer sleep regardless ofbgwriter_delay. If this value is specified without units, it is taken as milliseconds. The default value is 200 milliseconds (200ms). Note that on some systems, the effective resolution of sleep delays is 10 milliseconds; settingbgwriter_delayto a value that is not a multiple of 10 might have the same results as setting it to the next higher multiple of 10. This parameter can only be set in thepostgresql.conffile or on the server command line."
bgwriter_lru_maxpages,integer,"In each round, no more than this many buffers will be written by the background writer. Setting this to zero disables background writing. (Note that checkpoints, which are managed by a separate, dedicated auxiliary process, are unaffected.) The default value is 100 buffers. This parameter can only be set in thepostgresql.conffile or on the server command line."
